Date,Islamic Date,Blast Day Type,Holiday Type,City,Province,Target Type,Killed Max,Injured Max,No. of Suicide Blasts,Explosive Weight (max),VicTams
Sunday-November 19-1995,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,Islamabad,Capital,Foreigner,15,60,2,3.5,75
Monday-November 6-2000,10 SHa`baan 1421 A.H,Working Day,nan,Karachi,Sindh,Media,3,3,1,1,6
Wednesday-May 8-2002,25 safar 1423 A.H,Working Day,nan,Karachi ,Sindh,Foreigner,15,40,1,4.5,55
Friday-June 14-2002,3 Raby` al-THaany 1423 A.H,Working Day,nan,Karachi,Sindh,Foreigner,12,51,1,5.5,63
Friday-July 4-2003,4 Jumaada al-awal 1424 A.H,Working Day,nan,Quetta,Baluchistan,Religious,47,65,1,8,112
Thursday-December 25-2003,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,Rawalpindi,Punjab,Military,18,50,2,3,68
Saturday-February 28-2004,8 MuHarram 1425 A.H,Working Day,nan,Rawalpindi,Punjab,Religious,1,4,1,1,5
Friday-May 7-2004,18 Raby` al-awal 1425 A.H,Working Day,nan,Karachi ,Sindh,Religious,15,200,1,15,215
Monday-May 31-2004,nan,Working Day,nan,Karachi ,Sindh,Religious,18,35,1,4.5,53
Thursday-June 3-2004,15 Raby` al-THaany 1425 A.H,Working Day,nan,North waziristan,FATA,Military,2,2,1,1,4
Wednesday-July 28-2004,11 Jumaada al-THaany 1425 A.H,Working Day,nan,Kohat,KPK,Military,3,3,2,0.5,6
Friday-July 30-2004,13 Jumaada al-THaany 1425 A.H,Working Day,nan,Attock ,Punjab,Government Official,7,70,1,6.5,77
Friday-October 1-2004,17 SHa`baan 1425 A.H,Working Day,nan,Sialkot,Punjab,Religious,31,75,1,7.5,106
Sunday-October 10-2004,26 SHa`baan 1425 A.H.,Holiday,Weekend,Lahore ,Punjab,Religious,5,10,1,1.5,15
Saturday-March 19-2005,9 safar 1426 A.H,Working Day,nan,Quetta,Baluchistan,Religious,50,100,1,12.5,150
Thursday-April 28-2005,19 Raby` al-awal 1426 A.H,Working Day,nan,Swat,KPK,civilian,2,0,1,0.5,2
Friday-May 27-2005,19 Raby` al-THaany 1426 A.H,Working Day,nan,Islamabad,Capital,Civilian,25,100,1,10,125
Monday-May 30-2005,22 Raby` al-THaany 1426 A.H,Working Day,nan,Karachi ,Sindh,Religious,6,30,1,3.5,36
Thursday-February 9-2006,10 MuHarram 1427 A.H,Holiday,Ashura,Hangu,KPK,Religious,40,0,1,4,40
Thursday-March 2-2006,2 safar 1427 A.H.,Working Day,nan,Karachi,Sindh,Foreigner,5,54,1,5,59
Wednesday-April 12-2006,14 Raby` al-awal 1427 A.H,Holiday,Eid Milad un-Nabi,Karachi ,Sindh,Religious,57,100,1,13,157
Friday-June 2-2006,6 Jumaada al-awal 1427 A.H,Working Day,nan,Bannu,KPK,Military,7,8,1,2,15
Monday-June 26-2006,30 Jumaada al-awal 1427 A.H,Working Day,nan,North Waziristan,FATA,Military,7,26,1,2.5,33
Sunday-August 6-2006,12 Rajab 1427 A.H,Holiday,Weekend,Lasbela,Baluchistan,Civilian,1,0,1,0.5,1
Wednesday-November 8-2006,17 SHawwal 1427 A.H,Working Day,nan,Malakand ,KPK,Military,42,39,1,6.5,81
Friday-November 17-2006,26 SHawwal 1427 A.H.,Working Day,nan,Peshawar,KPK,Police,1,2,1,0.5,3
Sunday-December 3-2006,12 Thw al-Qi`dah 1427 A.H.,Holiday,Weekend,Bannu,KPK,Police,1,1,1,0.5,2
Monday-January 22-2007,3 MuHarram 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,5,25,1,2.5,30
Friday-January 26-2007,7 MuHarram 1428 A.H,Working Day,nan,Islamabad,Capital,Foreigner,2,7,1,1.5,9
Saturday-January 27-2007,8 MuHarram 1428 A.H,Working Day,nan,Peshawar ,KPK,Civilian,15,60,1,6.5,75
Monday-January 29-2007,10 MuHarram 1428 A.H,Holiday,Ashura,D.I Khan ,KPK,Civilian,3,7,1,1,10
Saturday-February 3-2007,15 MuHarram 1428 A.H.,Working Day,nan,Lakki Marwat,KPK,Civilian,1,0,1,0.5,1
Saturday-February 3-2007,15 MuHarram 1428 A.H.,Working Day,nan,Tank,KPK,Military,2,8,1,1,10
Tuesday-February 6-2007,18 MuHarram 1428 A.H.,Working Day,nan,Islamabad ,Capital,Civilian,1,10,1,1,11
Saturday-February 17-2007,29 MuHarram 1428 A.H,Working Day,nan,Quetta ,Baluchistan,Civilian,17,35,1,4,52
Thursday-March 29-2007,10 Raby` al-awal 1428 A.H,Working Day,nan,Gujrat,Punjab,Military,2,8,1,1,10
Saturday-April 28-2007,11 Raby` al-THaany 1428 A.H.,Working Day,nan,Charsadda,KPK,Government Official,35,60,1,8,95
Tuesday-May 15-2007,28 Raby` al-THaany 1428 A.H,Working Day,nan,Peshawar ,KPK,Foreigner,26,35,1,5.5,61
Monday-May 28-2007,11 Jumaada al-awal 1428 A.H,Working Day,nan,Tank ,KPK,Military,3,2,1,1,5
Wednesday-July 4-2007,19 Jumaada al-THaany 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,10,12,1,2,22
Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,Working Day,nan,Swat ,KPK,Military,7,8,1,1.5,15
Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,Working Day,nan,North Waziristan,FATA,Government official,4,3,1,1,7
Saturday-July 14-2007,29 Jumaada al-THaany 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,24,29,1,4.5,53
Sunday-July 15-2007,1 Rajab 1428 A.H,Holiday,Weekend,D.I Khan,KPK,Police,30,61,1,7.5,91
Sunday-July 15-2007,1 Rajab 1428 A.H,Holiday,Weekend,Swat ,KPK,Police,20,47,1,5.5,67
Tuesday-July 17-2007,3 Rajab 1428 A.H,Working Day,nan,Islamabad ,Capital,Government official,17,70,1,8,87
Tuesday-July 17-2007,3 Rajab 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,4,3,1,1,7
Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,nan,Lasbela,Baluchistan,Foreigner,30,50,1,7,80
Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,nan,Hangu,KPK,Police,8,35,1,3.5,43
Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,nan,Kohat ,KPK,Religious,20,58,1,6.5,78
Friday-July 20-2007,6 Rajab 1428 A.H,Working Day,nan,North Waziristan,FATA,Military,4,6,1,1,10
Friday-July 27-2007,13 Rajab 1428 A.H,Working Day,nan,Islamabad ,Capital,Police,15,70,1,7.5,85
Friday-August 3-2007,20 Rajab 1428 A.H.,Working Day,nan,Swat ,KPK,civilian,2,6,1,1.5,8
Saturday-August 4-2007,21 Rajab 1428 A.H,Working Day,nan,Kuram Agency ,FATA,civilian,23,43,1,5.5,66
